11.05,1.83,0.7718,,
1.34,1.83,0.749,,
0.01,0.64,0.749,,
9.55,1.74,0.5453,,
13.45,2 ,0.4183,,
7.48,1.51,0.3973,,
12.57,1.85,0.3807,,
8.44,-0.03,0.3804,,
10.46,1.72,0.3411,,
12.29,1.9,0.3156,,
3.73,0.88,0.3056,,
11.12,1.75,0.3011,,
12.66,1.98,0.2943,,
8.08,1.56,0.2895,,
11.06,1.79,0.2895,,
4.69,1.06,0.2889,,
6.03,1.37,0.2887,,
5.21,1.18,0.2887,,
8.9,1.52,0.2861,,
9.71,1.59,0.2861,,
3.49,0.72,0.286,,
0.38,0.42,0.2858,,
7.34,1.49,0.2843,,
14.81,2.06,0.2758,,
12.05,1.84,0.2674,,
9.85,1.56,0.2644,,
6.67,1.41,0.2586,,
8.85,1.55,0.2583,,
9.85,1.62,0.2519,,
11.3,1.8,0.2519,,
10.08,1.58,0.2447,,
11.13,1.71,0.2421,,
13.04,1.83,0.2322,,
12.38,0.55,0.2309,,
12.28,1.8,0.2238,,
13.92,1.82,0.2228,,
8.54,1.46,0.2218,,
15.6,2.1,0.221,,
9.37,1.53,0.2197,,
11.5,0.19,0.2185,,
8.67,1.47,0.215,,
6.59,1.36,0.2132,,
13.75,1.98,0.2128,,
9.18,1.5,0.2127,,
13.41,1.9,0.212,,
14.01,1.98,0.212,,
10.95,1.65,0.2116,,
10.17,1.58,0.2113,,
4.43,0.82,0.2071,,
9.52,0.03,0.2071,,
11.17,1.67,0.2071,,
9.4,1.54,0.2039,,
0.77,0.22,0.201,,
6,1.15,0.199,,
4.21,0.86,0.199,,
10.26,1.61,0.197,,
10.8,1.6,0.1915,,
14.92,1.93,0.1913,,
14.06,1.84,0.1913,,
8.74,1.54,0.1888,,
14.4,2.09,0.1888,,
12.03,1.72,0.1887,,
5.07,0.85,0.1876,,
5.11,0.86,0.1876,,
11.33,1.68,0.1863,,
8.46,1.44,0.184,,
6.33,1.16,0.182,,
11.08,1.65,0.1819,,
12.44,0.31,0.1819,,
4.68,0.79,0.1782,,
8.98,1.48,0.1779,,
5.32,0.87,0.1771,,
9.11,1.5,0.1767,,
17.52,2.2,0.1767,,
12.23,1.68,0.1757,,
3.56,0.76,0.1752,,
8.14,1.5,0.1749,,
8,1.5,0.1742,,
5.75,1.1,0.1742,,
10.01,1.57,0.1736,,
7.96,1.47,0.1723,,
11.8,1.69,0.1719,,
12.1,1.6,0.17,,
7.51,1.39,0.1684,,
3.45,0.57,0.1684,,
11.53,1.62,0.1665,,
10.75,1.65,0.1655,,
